id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479f573fd5009671:0x574d4fda4903bb2e,2BITES Nürnberg,90402,"Färberstraße 11, 90402 Nürnberg",4.7,130,Burger,49.4497362,11.0728739,01,"Altstadt, St. Lorenz",true,2,5,3.5,2.62,4.603,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/2BITES+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f573fd5009671:0x574d4fda4903bb2e!8m2!3d49.4497362!4d11.0728739!16s%2Fg%2F11yq65mrfj!19sChIJcZYA1T9Xn0cRLrsDSdpPTVc?authuser=0&hl=de&rclk=1,2026-05-02T10:34:21Z,active,success,None
0x479f57eb67ae1e23:0x2e07bb454941dbb4,480grad neapolitan Pizza & Bar,90402,"Kappengasse 13, 90402 Nürnberg",4.5,1644,Pizzeria,49.4517963,11.0696814,01,"Altstadt, St. Lorenz",false,None,None,None,None,None,None,https://www.google.com/maps/place/480grad+neapolitan+Pizza+%26+Bar/data=!4m7!3m6!1s0x479f57eb67ae1e23:0x2e07bb454941dbb4!8m2!3d49.4517963!4d11.0696814!16s%2Fg%2F11fgm6zmwt!19sChIJIx6uZ-tXn0cRtNtBSUW7By4?authuser=0&hl=de&rclk=1,2026-05-02T10:38:30Z,active,success,None
0x479f57b06224e14b:0x64f98ca5f012a6df,60's SMASH BURGER,90402,"Vordere Sterngasse 21, 90402 Nürnberg",4.7,2262,Burger,49.4474367,11.0782891,03,Tafelhof,true,51,100,75.5,3.23,4.58,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/60%27s+SMASH+BURGER/data=!4m7!3m6!1s0x479f57b06224e14b:0x64f98ca5f012a6df!8m2!3d49.4474367!4d11.0782891!16s%2Fg%2F11lnk6qkhv!19sChIJS-EkYrBXn0cR36YS8KWM-WQ?authuser=0&hl=de&rclk=1,2026-05-02T10:35:41Z,active,success,None
0x479f579339f3f56b:0xdf2e9c11c0fac18a,ALANO Pizza | Pasta | Burger | Salat,90402,"Neudörferstraße 14, 90402 Nürnberg",4.7,231,Pizzeria,49.4487373,11.0891835,02,Marienvorstadt,false,None,None,None,None,None,None,https://www.google.com/maps/place/ALANO+Pizza+%7C+Pasta+%7C+Burger+%7C+Salat/data=!4m7!3m6!1s0x479f579339f3f56b:0xdf2e9c11c0fac18a!8m2!3d49.4487373!4d11.0891835!16s%2Fg%2F11kpyvmysb!19sChIJa_XzOZNXn0cRisH6wBGcLt8?authuser=0&hl=de&rclk=1,2026-05-02T10:33:57Z,active,success,None
0x479f57a84cb747b9:0x75195857cc89923b,Altstadt Pizzeria Nürnberg,90402,"Färberstraße 33, 90402 Nürnberg",4.4,785,Pizzeria,49.4483674,11.0722987,03,Tafelhof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Altstadt+Pizzeria+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57a84cb747b9:0x75195857cc89923b!8m2!3d49.4483674!4d11.0722987!16s%2Fg%2F11fylzcrv7!19sChIJuUe3TKhXn0cRO5KJzFdYGXU?authuser=0&hl=de&rclk=1,2026-05-02T10:23:14Z,active,success,None
0x479f575bfc601b3b:0x5d5e4038d6d76aaa,Arjon Döner,90402,"Königstraße 69, 90402 Nürnberg",4.7,1558,Döner / Kebab,49.448634,11.0803801,01,"Altstadt, St. Lorenz",false,None,None,None,None,None,None,https://www.google.com/maps/place/Arjon+D%C3%B6ner/data=!4m7!3m6!1s0x479f575bfc601b3b:0x5d5e4038d6d76aaa!8m2!3d49.448634!4d11.0803801!16s%2Fg%2F11pxs32lmy!19sChIJOxtg_FtXn0cRqmrX1jhAXl0?authuser=0&hl=de&rclk=1,2026-05-02T10:20:21Z,active,success,None
0x479f57abe1b967d9:0xfa37505c3683211d,Artothek Nürnberg E.V.,90402,"Königstraße 93, 90402 Nürnberg",4.8,4,Imbiss,49.4484109,11.0817605,03,Tafelhof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Artothek+N%C3%BCrnberg+E.V./data=!4m7!3m6!1s0x479f57abe1b967d9:0xfa37505c3683211d!8m2!3d49.4484109!4d11.0817605!16s%2Fg%2F1tfxfp95!19sChIJ2We54atXn0cRHSGDNlxQN_o?authuser=0&hl=de&rclk=1,2026-05-02T10:37:40Z,active,success,None
0x479f57a622a44cc9:0xeb80ffe72f6a5825,Asia China Restaurant,90402,"Breite G. 16, 90402 Nürnberg",4.4,504,Asiatisch,49.4501149,11.0766525,01,"Altstadt, St. Lorenz",false,None,None,None,None,None,None,https://www.google.com/maps/place/Asia+China+Restaurant/data=!4m7!3m6!1s0x479f57a622a44cc9:0xeb80ffe72f6a5825!8m2!3d49.4501149!4d11.0766525!16s%2Fg%2F11b6dpfrwn!19sChIJyUykIqZXn0cRJVhqL-f_gOs?authuser=0&hl=de&rclk=1,2026-05-02T10:24:28Z,active,success,None
0x479f57a17243e899:0x2e76e4866481ed3c,Asia City Express,90402,"Gleißbühlstraße 7, 90402 Nürnberg",3.5,264,Asiatisch,49.4492559,11.0852183,02,Marienvorstadt,false,None,None,None,None,None,None,https://www.google.com/maps/place/Asia+City+Express/data=!4m7!3m6!1s0x479f57a17243e899:0x2e76e4866481ed3c!8m2!3d49.4492559!4d11.0852183!16s%2Fg%2F1hc9zhbz9!19sChIJmehDcqFXn0cRPO2BZIbkdi4?authuser=0&hl=de&rclk=1,2026-05-02T10:36:27Z,active,success,None
0x479f57a9bacbaeb3:0x5a3b486688da8a33,Asia Fast Food Nürnberg,90402,"Zirkelschmiedsgasse 9, 90402 Nürnberg",4.7,100,Restaurant,49.4487531,11.0716499,03,Tafelhof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Asia+Fast+Food+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57a9bacbaeb3:0x5a3b486688da8a33!8m2!3d49.4487531!4d11.0716499!16s%2Fg%2F11bzyphzh2!19sChIJs67LuqlXn0cRM4raiGZIO1o?authuser=0&hl=de&rclk=1,2026-05-02T10:25:31Z,active,success,None
